,V1,V2
121,6.364675,-0.11777714
122,6.210043,2.3017104
123,7.698312,-0.23197903
124,6.9768825,0.2021176
125,7.142207,9.399401
126,5.5145993,3.6839714
127,8.871304,10.972171
128,3.3321795,2.5575583
129,5.841583,12.25284
130,5.3447995,3.54488
131,3.3669515,2.935606
132,7.4974537,0.4382985
133,5.5321765,3.0662057
134,5.1495433,11.942031
135,5.991612,3.6738145
136,6.2835097,6.575421
137,4.271443,3.2506404
138,9.462879,9.947803
139,4.826254,2.3071518
140,4.782879,3.8790808
141,4.3525376,1.2367814
142,6.139892,6.613265
143,6.0584683,9.627492
144,6.8323836,12.945547
145,7.0931373,8.0181
146,1.9333038,2.9217072
147,4.2235703,2.4386935
148,5.204987,-0.013559163
149,5.1997747,3.1098754
150,5.7484913,3.1424706
151,7.119966,2.5386708
152,5.9734545,3.1240506
153,5.0137625,0.32487413
154,4.3746023,3.0083795
155,6.280839,2.492516
156,5.33126,3.074798
157,5.7829175,2.8434975
158,7.434721,9.253732
159,5.8240027,2.985606
160,8.578606,8.163719
161,8.103712,8.650927
162,8.226042,8.779573
163,6.138181,6.6413918
164,4.6401725,3.3924732
165,5.8699784,2.787621
166,2.5474987,2.1170402
167,2.3854847,2.3837621
168,4.479935,2.8058872
169,2.1501877,3.433917
170,8.650285,8.081605
171,6.816462,11.883542
172,2.6015687,2.0771322
173,4.015868,9.3986
174,8.6074,7.946614
175,4.897631,3.903276
176,6.3516684,11.845086
177,6.815983,12.791617
178,6.2219286,11.579471
179,7.8268456,1.4752392
180,7.428089,3.3420196
181,9.040438,11.096227
182,8.808882,11.160289
183,6.099427,11.63504
184,6.0259905,2.5475402
185,6.248541,5.2631164
186,6.014724,4.3709145
187,6.393811,2.0853436
188,6.1228275,11.303093
189,7.0900054,9.308478
190,4.729163,2.8778257
191,2.226481,0.9166265
192,7.0481725,9.293203
193,6.7453794,9.205038
194,9.539593,9.057314
195,5.4540696,11.263443
196,5.337255,11.273047
197,5.0314436,12.538231
198,9.165096,11.230701
199,7.457801,5.3223863
